"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Baltimore Ravens","DST",1,7,2.04,1.53,"1"
2,"New York Jets","DST",1,13,2.88,1.74,"1"
3,"San Francisco 49ers","DST",1,14,3.45,2.26,"1"
4,"Dallas Cowboys","DST",1,22,4.69,3.42,"1"
5,"Cleveland Browns","DST",1,15,4.75,2.03,"1"
6,"Pittsburgh Steelers","DST",2,17,7.49,2.41,"2"
7,"Kansas City Chiefs","DST",3,18,7.75,2.63,"2"
8,"Buffalo Bills","DST",3,22,9.31,3.73,"2"
9,"Houston Texans","DST",4,23,10.63,3.21,"3"
10,"Philadelphia Eagles","DST",2,24,11.45,3.6,"3"
11,"Miami Dolphins","DST",5,28,11.45,4.36,"3"
12,"New Orleans Saints","DST",7,23,12.88,3.49,"4"
13,"Chicago Bears","DST",4,24,13.14,3.44,"4"
14,"Indianapolis Colts","DST",8,25,15.49,3.76,"5"
15,"Detroit Lions","DST",4,25,15.76,3.84,"5"
16,"Cincinnati Bengals","DST",4,26,17.91,3.89,"6"
17,"Green Bay Packers","DST",5,27,17.55,4.82,"6"
18,"Jacksonville Jaguars","DST",10,31,17.99,3.95,"6"
19,"Minnesota Vikings","DST",7,28,18.99,4.09,"6"
20,"Las Vegas Raiders","DST",9,29,19.38,4.4,"6"
